"filename", "language", "JSON", "C++", "CMake", "XML", "TypeScript JSX", "YAML", "Dart", "Properties", "Markdown", "Swift", "Ruby", "HTML", "comment", "blank", "total"
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spiked_ball_component.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 23, 35, 193
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/spikes.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 17, 15, 97
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/traps/trampoline.dart", "Dart", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 18, 21, 112
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/animation_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 1, 11
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/arrow_indicator.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 8, 39
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/background_parallax.dart", "Dart", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 2, 14, 123
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/button.dart", "Dart", 0, 0, 0, 0, 0, 0, 480, 0, 0, 0, 0, 0, 215, 85, 780
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/camera_culling.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/corner_outline.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 11, 57
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/curves.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/debug_components.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 23, 6, 64
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dialog_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 17, 21, 176
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dialog_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 10, 64
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dots_indicator.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 9, 14, 93
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/dummy_character.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 5, 10, 64
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/game_safe_padding.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/grid.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 41, 10, 107
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/input_blocker.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 8, 34
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/load_sprites.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 14, 7, 70
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/misc_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 7, 33
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/rrect.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 5, 28
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/slider.dart", "Dart", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 13, 30, 188
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/sprite_row.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 8, 52
"/Users/tjarkgomolla/Development/Flutter/pixel_quest/lib/game/utils/tile_id_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
